country,Code,Year,SuicideRate,Prevalence,Population,Continent
Afghanistan ,AFG,1990,8.28,17415.20811,10694804,Asia
Albania ,ALB,1990,4.1,10605.33569,3295073,Europe
Algeria ,DZA,1990,6.6,14108.37179,25518074,Africa
American Samoa ,ASM,1990,7.3,10454.45806,47841,Oceania
Andorra ,AND,1990,9.71,13531.15319,53590,Europe
Angola ,AGO,1990,17.59,12449.30586,11828643,Africa
Antigua and Barbuda ,ATG,1990,2.34,12726.74061,63346,America
Argentina ,ARG,1990,8.57,14504.9047,32637658,America
Armenia ,ARM,1990,3.37,10201.61243,3556544,Asia
Australia ,AUS,1990,12.8,16322.57232,17048002,Oceania
Austria ,AUT,1990,19.43,13483.76818,7678732,Europe
Azerbaijan ,AZE,1990,3.43,10097.75009,7427840,Asia
Bahamas ,BHS,1990,3.01,12733.91312,270690,America
Bahrain ,BHR,1990,5.9,14073.53737,517429,Asia
Bangladesh ,BGD,1990,11.78,13403.70553,107147656,Asia
Barbados ,BRB,1990,4.54,12835.45169,258871,America
Belarus ,BLR,1990,20.27,11375.02928,10428527,Europe
Belgium ,BEL,1990,17.99,13303.05528,9959565,Europe
Belize ,BLZ,1990,5.64,12863.35688,182603,America
Benin ,BEN,1990,11.05,11722.2412,5133429,Africa
Bermuda ,BMU,1990,5.83,13165.25973,57490,America
Bhutan ,BTN,1990,8.69,12310.82078,558449,Asia
Bolivia ,BOL,1990,7.78,12560.23931,7096195,America
Bosnia and Herzegovina ,BIH,1990,9.96,11287.60118,4494314,Europe
Botswana ,BWA,1990,18.7,12078.57888,1341480,Africa
Brazil ,BRA,1990,7.25,13801.82458,150706448,America
Brunei ,BRN,1990,5.72,10513.73651,261936,Asia
Bulgaria ,BGR,1990,17.36,10969.69196,8767778,Europe
Burkina Faso ,BFA,1990,13.91,11914.7996,9131362,Africa
Burundi ,BDI,1990,20.1,13129.05914,5483800,Africa
Cambodia ,KHM,1990,7.73,13395.30474,8910806,Asia
Cameroon ,CMR,1990,11.77,11545.79319,11430519,Africa
Canada ,CAN,1990,13.54,14188.52388,27657206,America
Cape Verde ,CPV,1990,12.88,11691.27805,364572,Africa
Central African Republic ,CAF,1990,23.66,12595.05415,2809223,Africa
Chad ,TCD,1990,10.54,12064.21445,5827070,Africa
Chile ,CHL,1990,20.17,15154.1087,13342876,America
China ,CHN,1990,20.62,11068.00216,1153704192,Asia
Colombia ,COL,1990,4.72,9767.325003,32601396,America
Comoros ,COM,1990,9.12,12047.13716,431128,Africa
Congo ,COG,1990,21.3,12325.50604,2385433,Africa
Costa Rica ,CRI,1990,6.23,10344.12093,3158257,America
Cote d'Ivoire ,CIV,1990,15.48,11299.60277,11910540,Africa
Croatia ,HRV,1990,21.04,11157.30106,4873705,Europe
Cuba ,CUB,1990,20.12,14030.21183,10626679,America
Cyprus ,CYP,1990,5.26,13292.60224,788501,Europe
Czechia ,CZE,1990,19.39,10931.13075,10301190,Europe
Democratic Republic of Congo ,COD,1990,14.39,12460.51405,35987544,Africa
Denmark ,DNK,1990,23.9,13763.86233,5144626,Europe
Djibouti ,DJI,1990,9.37,12080.90063,577183,Africa
Dominica ,DMA,1990,4.58,12774.11353,69501,America
Dominican Republic ,DOM,1990,4.86,13027.49322,7129004,America
Ecuador ,ECU,1990,5.36,12259.51121,10449845,America
Egypt ,EGY,1990,4.24,14877.08159,57214632,Africa
El Salvador ,SLV,1990,11.86,10723.64459,5367182,America
England ,,1990,9.11,13538.90001,,America
Equatorial Guinea ,GNQ,1990,19.65,12645.64791,465560,Africa
Eritrea ,ERI,1990,14.78,13059.48191,2149967,Africa
Estonia ,EST,1990,26.94,11812.92816,1570676,Europe
Eswatini ,SWZ,1990,18.41,11978.92727,854020,Africa
Ethiopia ,ETH,1990,21.67,13486.79251,47878076,Africa
Fiji ,FJI,1990,11.57,10816.7159,780437,Oceania
Finland ,FIN,1990,28.38,14272.85728,4986551,Europe
France ,FRA,1990,21.86,15134.49889,56412896,Europe
Gabon ,GAB,1990,18.54,12182.4382,983039,Africa
Gambia ,GMB,1990,8.66,12127.43794,1040625,Africa
Georgia ,GEO,1990,5.34,10223.29187,5391635,Asia
Germany ,DEU,1990,14.52,13740.80695,79370192,Europe
Ghana ,GHA,1990,9.18,11465.89352,15446987,Africa
Greece ,GRC,1990,3.54,14334.53555,10302255,Europe
Greenland ,GRL,1990,87.35,16184.57556,55616,America
Grenada ,GRD,1990,6.46,12889.93637,99066,America
Guam ,GUM,1990,16.56,10787.75888,138279,Oceania
Guatemala ,GTM,1990,7.62,10850.67871,9084779,America
Guinea ,GIN,1990,9.08,11470.8842,6354146,Africa
Guinea-Bissau ,GNB,1990,16.4,11553.60839,973557,Africa
Guyana ,GUY,1990,30.68,13877.62833,747124,America
Haiti ,HTI,1990,12.6,13368.44966,6925335,America
Honduras ,HND,1990,5.05,10338.67681,5053235,America
Hungary ,HUN,1990,34.05,11193.00898,10375989,Europe
Iceland ,ISL,1990,14.43,13323.33897,255026,Europe
India ,IND,1990,20.16,15069.87525,870452160,Asia
Indonesia ,IDN,1990,4.03,11539.79335,182159888,Asia
Iran ,IRN,1990,7.42,17359.47005,55793628,Asia
Iraq ,IRQ,1990,5.96,13497.66213,17658384,Asia
Ireland ,IRL,1990,10.29,14179.88948,3485370,Europe
Israel ,ISR,1990,7.86,12027.67889,4803255,Asia
Italy ,ITA,1990,7.08,14195.37436,56756560,Europe
Jamaica ,JAM,1990,1.68,12766.60841,2392035,America
Japan ,JPN,1990,15.84,10914.09338,123686320,Asia
Jordan ,JOR,1990,4.82,14351.94235,3480591,Asia
Kazakhstan ,KAZ,1990,22.05,10702.37943,16866574,Asia
Kenya ,KEN,1990,10.87,12201.59301,23162270,Africa
Kiribati ,KIR,1990,34.65,11292.73284,75140,Oceania
Kuwait ,KWT,1990,2.63,13209.68773,1674942,Asia
Kyrgyzstan ,KGZ,1990,16.19,10721.85186,4394738,Asia
Laos ,LAO,1990,13.52,13260.21739,4314442,Asia
Latvia ,LVA,1990,26.55,11323.374,2689398,Europe
Lebanon ,LBN,1990,4.54,15158.78747,3593705,Asia
Lesotho ,LSO,1990,23.58,13669.84337,1799004,Africa
Liberia ,LBR,1990,9.85,11704.69428,2209737,Africa
Libya ,LBY,1990,4.94,13632.03929,4236988,Africa
Lithuania ,LTU,1990,28.54,11575.08246,3785851,Europe
Luxembourg ,LUX,1990,16.45,13821.91227,381275,Europe
Madagascar ,MDG,1990,12.82,12793.37792,11882763,Africa
Malawi ,MWI,1990,13.88,12359.89391,9539669,Africa
Malaysia ,MYS,1990,7.45,11810.97906,17517060,Asia
Maldives ,MDV,1990,8.91,12127.21688,224976,Asia
Mali ,MLI,1990,9.23,11395.04181,8945030,Africa
Malta ,MLT,1990,4.93,13370.55262,365396,Europe
Marshall Islands ,MHL,1990,26.18,11092.69606,46069,Oceania
Mauritania ,MRT,1990,9.61,11323.64171,2006035,Africa
Mauritius ,MUS,1990,12.73,11659.28732,1090296,Africa
Mexico ,MEX,1990,3.79,10009.23353,81720424,America
Micronesia (country) ,FSM,1990,27.93,11154.51284,98616,Oceania
Moldova ,MDA,1990,17.15,11252.21564,4480206,Europe
Mongolia ,MNG,1990,16.61,10904.05149,2161440,Asia
Montenegro ,MNE,1990,15.91,10657.63801,621450,Europe
Morocco ,MAR,1990,8.83,16140.32457,24570816,Africa
Mozambique ,MOZ,1990,12.34,12964.22687,13303461,Africa
Myanmar ,MMR,1990,7.56,12178.66188,40099556,Asia
Namibia ,NAM,1990,14.4,11802.17902,1369016,Africa
Nepal ,NPL,1990,17.52,13625.88995,19616528,Asia
Netherlands ,NLD,1990,10.73,14595.08175,14944550,Europe
New Zealand ,NZL,1990,13.02,16561.42038,3397388,Oceania
Nicaragua ,NIC,1990,6.59,10414.48434,4227824,America
Niger ,NER,1990,9.39,11843.47019,8370650,Africa
Nigeria ,NGA,1990,8.2,11984.52555,95214256,Africa
North Korea ,PRK,1990,14.95,10946.67297,20799522,Asia
North Macedonia ,MKD,1990,9.72,10609.59287,2044181,Europe
Northern Ireland ,,1990,10.1,16049.86518,,Asia
Northern Mariana Islands ,MNP,1990,16.45,10369.50325,48021,Oceania
Norway ,NOR,1990,15.38,15065.54625,4241637,Europe
Oman ,OMN,1990,4.4,13770.9186,1804528,Asia
Pakistan ,PAK,1990,8.16,12365.45153,115414072,Asia
