country,Code,Year,lifeExp,gdpPercap,pop,continent
Afghanistan,AFG,2017,6.29,16451.10716,35643420,Asia
Albania,ALB,2017,5.03,10367.58,2879361,Europe
Algeria,DZA,2017,3.55,13690.08244,41136548,Africa
American Samoa,ASM,2017,7.44,10430.0526,49486,Oceania
Andorra,AND,2017,7.22,13489.08494,73853,Europe
Angola,AGO,2017,12.32,12203.81511,30208634,Africa
Antigua and Barbuda,ATG,2017,2.75,12685.52113,91133,America
Argentina,ARG,2017,10.55,14468.4627,44054616,America
Armenia,ARM,2017,7.98,10167.49696,2851929,Asia
Australia,AUS,2017,10.5,16446.47506,24590336,Oceania
Austria,AUT,2017,11.54,13177.98629,8797497,Europe
Azerbaijan,AZE,2017,3.6,9936.680563,10071569,Asia
Bahamas,BHS,2017,2.8,12677.21549,399027,America
Bahrain,BHR,2017,4.98,13514.65111,1456844,Asia
Bangladesh,BGD,2017,4.67,12204.38018,161793968,Asia
Barbados,BRB,2017,3.74,12843.87515,279199,America
Belarus,BLR,2017,19.04,11313.23594,9707874,Europe
Belgium,BEL,2017,15.25,13653.49251,11384491,Europe
Belize,BLZ,2017,7.35,12892.86719,374702,America
Benin,BEN,2017,11.28,11644.00877,11596786,Africa
Bermuda,BMU,2017,3.21,12933.09828,63295,America
Bhutan,BTN,2017,5.88,11508.20468,756130,Asia
Bolivia,BOL,2017,7.03,12341.64681,11435535,America
Bosnia and Herzegovina,BIH,2017,8.44,10456.61345,3440025,Europe
Botswana,BWA,2017,19.64,12118.33947,2401848,Africa
Brazil,BRA,2017,5.92,13888.21008,208504960,America
Brunei,BRN,2017,5.76,10439.10442,430290,Asia
Bulgaria,BGR,2017,10.66,10689.09221,7182430,Europe
Burkina Faso,BFA,2017,13.24,11760.81169,19835860,Africa
Burundi,BDI,2017,12.41,12639.16204,11155592,Africa
Cambodia,KHM,2017,5.25,11270.77877,15830694,Asia
Cameroon,CMR,2017,13.74,11599.68062,24393182,Africa
Canada,CAN,2017,11.55,14088.20547,36554344,America
Cape Verde,CPV,2017,16.4,11788.71885,564959,Africa
Central African Republic,CAF,2017,19.85,12579.11402,4996741,Africa
Chad,TCD,2017,13.1,11917.71569,15085893,Africa
Chile,CHL,2017,9.82,14734.07999,18368582,America
China,CHN,2017,7.04,10726.31507,1410275968,Asia
Colombia,COL,2017,5.49,9469.173147,48351668,America
Comoros,COM,2017,7.71,11948.48491,761672,Africa
Congo,COG,2017,12.29,12074.78316,5312347,Africa
Costa Rica,CRI,2017,7.88,10396.42489,4993849,America
Cote d'Ivoire,CIV,2017,13.78,11306.72678,24848024,Africa
Croatia,HRV,2017,11.14,10771.58045,4192468,Europe
