location,Code,cause,Case in 1990,Case in 2017,change_percent,EAPC
Afghanistan,AFG,Depressive disorders,377523.25,1178953,212.29,-0.02(-0.03--0.01)
Albania,ALB,Depressive disorders,58480.38,66456.95,13.64,0.09(0.04-0.15)
Algeria,DZA,Depressive disorders,838191.99,1579833.33,88.48,-0.22(-0.24--0.19)
American Samoa,ASM,Depressive disorders,931.48,1069.09,14.77,-0.11(-0.12--0.1)
Andorra,AND,Depressive disorders,2046.52,3048.26,48.95,-0.13(-0.15--0.11)
Angola,AGO,Depressive disorders,370861.9,985041.28,165.61,-0.13(-0.15--0.11)
Antigua,ATG,Depressive disorders,1477.63,2460.37,66.51,-0.1(-0.13--0.07)
Argentina,ARG,Depressive disorders,1044732.14,1499978.34,43.58,0.01(-0.02-0.03)
Armenia,ARM,Depressive disorders,75875.69,87078.38,14.76,0.27(0.24-0.31)
Australia,AUS,Depressive disorders,805525.64,1118655.29,38.87,-0.02(-0.12-0.08)
Austria,AUT,Depressive disorders,271938.91,272251.71,0.12,-0.79(-0.86--0.71)
Azerbaijan,AZE,Depressive disorders,150979.21,237500.92,57.31,-0.05(-0.09--0.01)
Bahamas,BHS,Depressive disorders,6293.8,10342.19,64.32,-0.12(-0.14--0.1)
Bahrain,BHR,Depressive disorders,23518.09,72412.37,207.9,-0.57(-0.67--0.47)
Bangladesh,BGD,Depressive disorders,3740782.58,6688550.5,78.8,-0.02(-0.08-0.04)
Barbados,BRB,Depressive disorders,7148.7,9575.23,33.94,0.07(0.04-0.1)
Barbuda,BRB,Depressive disorders,1477.63,2460.37,66.51,-0.1(-0.13--0.07)
Belarus,BLR,Depressive disorders,440970.46,451428.17,2.37,-0.08(-0.19-0.02)
Belgium,BEL,Depressive disorders,360528.9,493192.27,36.8,0.88(0.79-0.97)
Belize,BLZ,Depressive disorders,4118.31,10902.09,164.72,0.16(0.1-0.22)
Benin,BEN,Depressive disorders,124180.47,323484.34,160.5,0.09(0.07-0.11)
Bermuda,BMU,Depressive disorders,2064.24,2281.75,10.54,-0.58(-0.61--0.54)
Bhutan,BTN,Depressive disorders,15450.28,30278.74,95.98,-0.37(-0.4--0.33)
Bolivia,BOL,Depressive disorders,168700.43,340880.67,102.06,-0.24(-0.29--0.2)
Bosnia and Herzegovina,BIH,Depressive disorders,125740.76,93356.87,-25.75,-1.01(-1.09--0.93)
Botswana,BWA,Depressive disorders,40879.64,89785,119.63,0.08(-0.01-0.17)
Brazil,BRA,Depressive disorders,5197067.68,7830676.76,50.67,-0.49(-0.97-0)
Brunei,BGR,Depressive disorders,5375.86,9786.77,82.05,-0.13(-0.18--0.09)
Bulgaria,BGR,Depressive disorders,284028.87,227883.14,-19.77,-0.66(-0.73--0.6)
Burkina Faso,BFA,Depressive disorders,262395.84,600370.52,128.8,0.02(-0.03-0.06)
Burundi,BDI,Depressive disorders,182433.51,302010.86,65.55,-0.8(-0.87--0.74)
Cambodia,KHM,Depressive disorders,206960.52,374003.83,80.71,-0.32(-0.37--0.27)
Cameroon,CMR,Depressive disorders,288146.93,829050.74,187.72,0.11(0.07-0.14)
Canada,CAN,Depressive disorders,987511.02,1200318.4,21.55,-0.36(-0.44--0.28)
Cape Verde,CPV,Depressive disorders,10847.59,22832,110.48,0.24(0.14-0.34)
Central African Republic,CAF,Depressive disorders,101143.78,186706.29,84.59,-0.05(-0.07--0.03)
Chad,TCD,Depressive disorders,177809.7,423312.15,138.07,0.11(0.02-0.2)
Chile,CHL,Depressive disorders,571457.75,720899.68,26.15,-0.64(-0.7--0.59)
China,CHN,Depressive disorders,36131098.57,46167614.46,27.78,-0.59(-0.68--0.51)
Colombia,COL,Depressive disorders,681484.72,1199998.45,76.09,-0.33(-0.52--0.14)
Comoros,COM,Depressive disorders,12115.57,21411.55,76.73,-0.25(-0.29--0.21)
Costa Rica,CRI,Depressive disorders,76505.32,151496.41,98.02,0.16(0.14-0.18)
Croatia,HRV,Depressive disorders,182435.97,156920.23,-13.99,-0.77(-0.85--0.7)
Cuba,CUB,Depressive disorders,519301.2,489507.19,-5.74,-1.26(-1.37--1.14)
Cyprus,CYP,Depressive disorders,22813.18,39168.08,71.69,-0.14(-0.19--0.1)
Czech Republic,CZE,Depressive disorders,351284.7,352136.71,0.24,-0.59(-0.63--0.55)
Democratic Republic of the Congo,COD,Depressive disorders,1302251.09,2822194.96,116.72,-0.12(-0.14--0.11)
Denmark,DNK,Depressive disorders,204752.06,177700.83,-13.21,-1.21(-1.38--1.04)
Djibouti,DJI,Depressive disorders,13577.21,35882.41,164.28,-0.04(-0.06--0.02)
Dominica,DMA,Depressive disorders,1824.92,1983.31,8.68,0(-0.03-0.03)
